rank,player_name,team,pos,age_years,tier,trend_30_day,value
128,Xavier Worthy,KCC,WR46,22.9,Tier 17,14,3399
129,Josh Downs,IND,WR47,24.6,Tier 17,5,3392
130,Terry McLaurin,WAS,WR48,30.5,Tier 17,1,3371
131,Mike Evans,SFO,WR49,32.6,Tier 17,29,3350
132,Quentin Johnston,LAC,WR50,24.5,Tier 17,17,3339
133,Jakobi Meyers,JAC,WR51,29.4,Tier 17,15,3336
134,Chuba Hubbard,CAR,RB30,26.8,Tier 17,7,3336
135,Mason Taylor,NYJ,TE16,21.8,Tier 17,18,3327
136,Rico Dowdle,PIT,RB31,27.8,Tier 17,4,3324
137,2026 Early 2nd,,PICK,,Tier 17,22,3317
138,Jayden Reed,GBP,WR52,25.9,Tier 17,7,3299
139,Blake Corum,LAR,RB32,25.3,Tier 17,20,3296
140,Courtland Sutton,DEN,WR53,30.4,Tier 17,13,3296
141,Denzel Boston,RFA,WR54,N/A,Tier 17,60,3272
142,AJ Barner,SEA,TE17,23.9,Tier 17,11,3264
143,Jaylen Warren,PIT,RB33,27.4,Tier 17,20,3254
144,Terrance Ferguson,LAR,TE18,23,Tier 17,20,3224
145,T.J. Hockenson,MIN,TE19,28.7,Tier 17,7,3194
146,Omar Cooper Jr.,RFA,WR55,N/A,Tier 17,38,3193
147,Mark Andrews,BAL,TE20,30.5,Tier 17,14,3184
148,David Njoku,FA,TE21,29.7,Tier 17,19,3172
149,2028 Early 2nd,,PICK,,Tier 17,7,3140
150,Michael Penix Jr.,ATL,QB28,25.8,Tier 17,40,3134
151,Jalen Coker,CAR,WR56,24.4,Tier 16,12,3131
152,Chigoziem Okonkwo,WAS,TE22,26.5,Tier 16,44,3114
153,2027 Late 2nd,,PICK,,Tier 16,9,3109
154,Rashid Shaheed,SEA,WR57,27.5,Tier 16,21,3100
155,Jalen McMillan,TBB,WR58,24.3,Tier 16,10,3074
156,2026 Mid 2nd,,PICK,,Tier 16,17,3069
157,Jadarian Price,RFA,RB34,N/A,Tier 16,26,3059
158,Khalil Shakir,BUF,WR59,26.1,Tier 16,17,3052
159,Dallas Goedert,PHI,TE23,31.2,Tier 16,16,3046
160,J.K. Dobbins,DEN,RB35,27.2,Tier 16,17,3037
161,Troy Franklin,DEN,WR60,23.1,Tier 16,22,3003
162,Elijah Arroyo,SEA,TE24,22.9,Tier 16,11,2996
163,Rhamondre Stevenson,NEP,RB36,28,Tier 16,12,2993
164,Mac Jones,SFO,QB29,27.5,Tier 16,15,2976
165,Eli Stowers,RFA,TE25,N/A,Tier 16,41,2966
166,Ty Simpson,RFA,QB30,N/A,Tier 16,12,2957
167,Kayshon Boutte,NEP,WR61,23.8,Tier 16,19,2940
168,Kenneth Gainwell,TBB,RB37,27,Tier 16,8,2929
169,Cade Otton,TBB,TE26,26.9,Tier 16,4,2912
170,Gunnar Helm,TEN,TE27,23.5,Tier 16,6,2894
171,Chris Godwin,TBB,WR62,30,Tier 16,11,2885
172,Woody Marks,HOU,RB38,25.2,Tier 16,43,2878
173,Jauan Jennings,SFO,WR63,28.7,Tier 16,16,2871
174,Pat Bryant,DEN,WR64,23.3,Tier 16,14,2869
175,J.J. McCarthy,MIN,QB31,23.2,Tier 16,58,2864
176,Jonathon Brooks,CAR,RB39,22.6,Tier 16,25,2856
177,2028 Mid 2nd,,PICK,,Tier 16,6,2844
178,2026 Late 2nd,,PICK,,Tier 16,15,2836
179,Jacoby Brissett,ARI,QB32,33.3,Tier 16,30,2835
180,Tre Harris,LAC,WR65,24,Tier 16,5,2832
181,Elic Ayomanor,TEN,WR66,22.8,Tier 16,20,2829
182,Jacory Croskey-Merritt,WAS,RB40,24.9,Tier 16,27,2823
183,Travis Kelce,KCC,TE28,36.4,Tier 16,42,2816
184,Juwan Johnson,NOS,TE29,29.5,Tier 16,5,2812
185,Isaac TeSlaa,DET,WR67,24.1,Tier 16,27,2807
186,Trey Benson,ARI,RB41,23.6,Tier 16,52,2779
187,Hunter Henry,NEP,TE30,31.3,Tier 16,27,2775
188,Jaylin Noel,HOU,WR68,23.5,Tier 16,18,2773
189,2028 Late 2nd,,PICK,,Tier 16,1,2771
190,Theo Johnson,NYG,TE31,25,Tier 16,66,2771
191,Braelon Allen,NYJ,RB42,22.2,Tier 16,24,2760
192,Chimere Dike,TEN,WR69,24.2,Tier 16,30,2752
193,Jake Tonges,SFO,TE32,26.7,Tier 16,12,2752
194,Shedeur Sanders,CLE,QB33,24.1,Tier 16,39,2743
195,Jerry Jeudy,CLE,WR70,26.9,Tier 16,3,2742
196,Dalton Schultz,HOU,TE33,29.7,Tier 16,15,2738
197,Michael Mayer,LVR,TE34,24.7,Tier 16,15,2734
198,Jonah Coleman,RFA,RB44,N/A,Tier 16,93,2726
199,Rachaad White,WAS,RB43,27.2,Tier 16,6,2726
200,Tory Horton,SEA,WR71,23.3,Tier 16,15,2724
201,Kyle Williams,NEP,WR72,23.3,Tier 16,24,2691
202,Tua Tagovailoa,ATL,QB34,28,Tier 16,6,2691
203,Jordan Mason,MIN,RB45,26.8,Tier 16,3,2688
204,Dylan Sampson,CLE,RB46,21.5,Tier 16,19,2683
205,Tyjae Spears,TEN,RB47,24.8,Tier 16,31,2680
206,Adonai Mitchell,NYJ,WR73,23.4,Tier 16,31,2668
207,Brandon Aiyuk,SFO,WR74,28,Tier 16,16,2636
208,Tony Pollard,TEN,RB48,28.9,Tier 16,22,2632
209,Pat Freiermuth,PIT,TE35,27.4,Tier 16,1,2592
210,Tyrone Tracy,NYG,RB49,26.3,Tier 16,32,2578
211,Ollie Gordon,MIA,RB50,22.2,Tier 16,15,2572
212,Anthony Richardson,IND,QB35,23.8,Tier 16,8,2562
213,Keon Coleman,BUF,WR75,22.8,Tier 16,6,2560
214,Marvin Mims,DEN,WR76,24,Tier 16,12,2556
215,2027 Early 3rd,,PICK,,Tier 16,3,2543
216,Tank Dell,HOU,WR77,26.4,Tier 16,5,2525
217,Deebo Samuel,WAS,WR78,30.2,Tier 16,21,2522
218,Jalen Milroe,SEA,QB36,23.2,Tier 16,4,2512
219,Tank Bigsby,PHI,RB51,24.5,Tier 16,14,2510
220,Colby Parkinson,LAR,TE36,27.2,Tier 16,13,2509
221,Nicholas Singleton,RFA,RB52,N/A,Tier 16,114,2501
222,Ja'Tavion Sanders,CAR,TE37,23,Tier 16,19,2497
223,Kaleb Johnson,PIT,RB53,22.6,Tier 16,38,2490
224,Tre Tucker,LVR,WR79,25,Tier 16,25,2489
225,Sean Tucker,TBB,RB54,24.4,Tier 16,26,2484
226,Kimani Vidal,LAC,RB55,24.6,Tier 16,32,2484
227,Elijah Sarratt,RFA,WR80,N/A,Tier 16,75,2475
228,Keaton Mitchell,LAC,RB56,24.2,Tier 16,12,2459
229,Cole Kmet,CHI,TE38,27,Tier 16,29,2432
230,Ben Sinnott,WAS,TE39,23.8,Tier 16,36,2413
231,Jack Bech,LVR,WR81,23.2,Tier 16,25,2409
232,2027 Mid 3rd,,PICK,,Tier 16,10,2395
233,Tez Johnson,TBB,WR82,23.8,Tier 16,16,2389
234,Isiah Pacheco,DET,RB57,27,Tier 16,0,2384
235,Brian Robinson,SFO,RB58,27,Tier 16,24,2363
236,2026 Early 3rd,,PICK,,Tier 16,23,2362
237,Devin Neal,NOS,RB59,22.6,Tier 16,52,2347
238,Darnell Washington,PIT,TE40,24.6,Tier 16,28,2329
239,Jaylen Wright,MIA,RB60,23,Tier 16,23,2324
240,Isaiah Bond,CLE,WR83,22,Tier 16,13,2313
241,Luke Musgrave,GBP,TE41,25.5,Tier 16,19,2313
242,Stefon Diggs,FA,WR84,32.3,Tier 16,59,2303
243,Dontayvion Wicks,GBP,WR85,24.8,Tier 16,14,2300
244,2026 Mid 3rd,,PICK,,Tier 16,17,2288
245,Tyreek Hill,FA,WR86,32,Tier 16,19,2275
246,Mike Washington Jr.,RFA,RB61,N/A,Tier 16,28,2249
247,Malik Washington,MIA,WR87,25.2,Tier 16,10,2245
248,2027 Late 3rd,,PICK,,Tier 16,16,2237
249,Evan Engram,DEN,TE42,31.5,Tier 16,35,2234
250,Demario Douglas,NEP,WR88,25.3,Tier 16,16,2229
251,Jalen Nailor,LVR,WR89,27,Tier 16,21,2218
252,Justin Fields,NYJ,QB37,27,Tier 16,5,2214
253,Trinidad Chambliss,RFA,QB38,N/A,Tier 16,62,2205
254,Emmett Johnson,RFA,RB62,N/A,Tier 16,53,2192
255,Zachariah Branch,RFA,WR90,N/A,Tier 16,117,2191
256,2028 Early 3rd,,PICK,,Tier 16,15,2191
257,Alvin Kamara,NOS,RB63,30.6,Tier 16,37,2186
258,2026 Late 3rd,,PICK,,Tier 16,17,2177
259,Trevor Etienne,CAR,RB64,21.7,Tier 16,6,2169
260,Brashard Smith,KCC,RB65,22.9,Tier 16,42,2159
261,Cedric Tillman,CLE,WR91,25.9,Tier 16,12,2146
262,Dont'e Thornton,LVR,WR92,23.3,Tier 16,18,2141
263,Will Howard,PIT,QB39,24.5,Tier 16,13,2122
264,Emanuel Wilson,SEA,RB66,26.8,Tier 16,22,2115
265,Xavier Legette,CAR,WR93,25.1,Tier 16,37,2106
266,2028 Mid 3rd,,PICK,,Tier 16,12,2106
267,Rashod Bateman,BAL,WR94,26.3,Tier 16,11,2101
268,Noah Gray,KCC,TE43,26.9,Tier 16,41,2098
269,Dawson Knox,BUF,TE44,29.3,Tier 16,18,2095
270,Kendre Miller,NOS,RB67,23.8,Tier 16,45,2092
271,Jaydon Blue,DAL,RB68,22.2,Tier 16,36,2089
272,James Conner,ARI,RB69,30.9,Tier 16,17,2086
273,Geno Smith,NYJ,QB40,35.4,Tier 16,53,2071
274,Chris Brazzell II,RFA,WR95,N/A,Tier 16,103,2065
275,Quinn Ewers,MIA,QB41,22.8,Tier 16,39,2063
276,Garrett Nussmeier,RFA,QB42,N/A,Tier 16,25,2062
277,DJ Giddens,IND,RB70,22.6,Tier 16,18,2061
278,Chris Rodriguez,JAC,RB71,25.5,Tier 16,36,2047
279,LeQuint Allen,JAC,RB72,21.6,Tier 16,10,2039
280,Aaron Jones,MIN,RB73,31.3,Tier 16,48,2022
281,Darnell Mooney,NYG,WR96,28.4,Tier 16,26,1991
282,Malachi Fields,RFA,WR97,N/A,Tier 16,165,1973
283,Ray Davis,BUF,RB74,26.3,Tier 16,31,1970
284,Christian Kirk,HOU,WR98,29.3,Tier 16,19,1965
285,Isaiah Davis,NYJ,RB75,24.1,Tier 16,49,1963
286,Daniel Bellinger,TEN,TE45,25.5,Tier 16,5,1962
287,Jaylin Lane,WAS,WR99,23.9,Tier 16,28,1948
288,Najee Harris,LAC,RB76,28,Tier 16,17,1929
289,2028 Late 3rd,,PICK,,Tier 16,28,1924
290,Chris Bell,RFA,WR100,N/A,Tier 16,125,1917
291,Kaytron Allen,RFA,RB77,N/A,Tier 16,82,1902
292,Ryan Flournoy,DAL,WR101,26.4,Tier 16,33,1896
293,Noah Fant,NOS,TE46,28.3,Tier 16,14,1891
294,Jonnu Smith,FA,TE47,30.6,Tier 16,39,1882
295,Jordan James,SFO,RB78,22,Tier 16,7,1874
296,Xavier Hutchinson,HOU,WR103,25.8,Tier 16,35,1866
297,Tyquan Thornton,KCC,WR102,25.6,Tier 16,6,1866
298,Cooper Kupp,SEA,WR104,32.8,Tier 16,9,1850
299,Joe Milton,DAL,QB43,26,Tier 16,17,1838
300,Germie Bernard,RFA,WR105,N/A,Tier 16,62,1837
301,Ja'Kobi Lane,RFA,WR106,N/A,Tier 16,75,1834
302,Jalen Royals,KCC,WR108,23.1,Tier 16,25,1830
303,Luke McCaffrey,WAS,WR107,25,Tier 16,35,1830
304,2027 Early 4th,,PICK,,Tier 16,31,1826
305,Aaron Rodgers,PIT,QB44,42.3,Tier 16,7,1819
306,John Metchie,CAR,WR109,25.7,Tier 16,42,1817
307,Greg Dulcich,MIA,TE48,26,Tier 16,25,1815
308,Riley Leonard,IND,QB45,23.5,Tier 16,23,1814
309,Kirk Cousins,FA,QB46,37.6,Tier 16,2,1808
310,Tommy Tremble,CAR,TE49,25.8,Tier 16,33,1804
311,2026 Early 4th,,PICK,,Tier 16,34,1797
312,Spencer Rattler,NOS,QB47,25.5,Tier 16,19,1795
313,Max Klare,RFA,TE50,N/A,Tier 16,115,1790
314,Cade Stover,HOU,TE51,25.8,Tier 16,30,1781
315,2027 Mid 4th,,PICK,,Tier 16,17,1778
316,Keenan Allen,LAC,WR110,33.9,Tier 16,36,1760
317,Mike Gesicki,CIN,TE52,30.4,Tier 16,41,1757
318,Calvin Ridley,TEN,WR111,31.2,Tier 16,16,1755
319,Roman Wilson,PIT,WR112,24.7,Tier 16,35,1752
320,Michael Trigg,RFA,TE53,N/A,Tier 16,109,1750
321,Jarquez Hunter,LAR,RB79,23.2,Tier 16,20,1744
322,Devaughn Vele,NOS,WR113,28.2,Tier 16,39,1743
323,MarShawn Lloyd,GBP,RB80,25.2,Tier 16,21,1740
324,Marquise Brown,KCC,WR114,28.8,Tier 16,35,1723
325,Jahan Dotson,ATL,WR115,26,Tier 16,7,1721
326,KeAndre Lambert-Smith,LAC,WR116,24.4,Tier 16,19,1720
327,Will Shipley,PHI,RB81,23.5,Tier 16,37,1713
328,Andrei Iosivas,CIN,WR117,26.4,Tier 16,39,1709
329,Dillon Gabriel,CLE,QB48,25.2,Tier 16,22,1707
